text,x,y
"Ordering pizza and compulsive online shopping is my new recipe to deal the anxiety of thinking constantly to my dear ones facing a pandemic crisis while I'm stuck in a country miles away from them.
The anguish is real.
#coronavirus
#Covid_19 #lockdown #COVD19 #fuorisede",9.845226,4.875556
Dear Everyone: go buy some of Neils awesome images. He had a bunch of jobs cancel on him because of the covid-19 apocalypse but we can support him with online shopping! ? https://t.co/fomr0dbGAv,9.605993,4.760132
How is #Covid_19 #coronavirus impacting your online shopping habits?,9.501868,5.427277
Doing online food shopping is just as stressful as going to the shop ????? #CoronaVirus just want to be able to buy my essentials,10.06236,5.2190566
"#Coronavirus has affected online shopping, travel, event cancellations, and it's now impacting #digitalmarketing. 
?
Online marketers: it's time to deliver factual information, prioritise relevant content &amp; reach target audiences  wherever they may be.

#COVID19UK #SARSCoV2 https://t.co/yGNOuodTnT",9.4628935,5.507741
How is #Coronavirus impacting online shopping? Our upcoming market research provides insights into consumers' online buying behavior and how it will affect brands. #Covid_19 #IP #BrandProtection https://t.co/0GAzXNJRee,9.6347685,5.4721823
@Disney What would it take for my family to pay movie ticket prices and watch this at home to avoid the #Covid_19 ? Happy to pay the $$$s.,8.759172,5.749171
"#Coronavirus has to stuck inside the house (online shopping)? If you're looking at #Rothys, the most comfortable shoes ever, use my Discount code to get $20 off your first pair! https://t.co/rkBhVi4tLu #Rothysdiscount #rothyscode #rothyscoupon #Rothy #rothycode #onlineshopping",9.353949,4.993803
"Enjoy the best shows from Sky TV and Netflix side by side, for just £25 per month! Sky Q. All in one place. Easy.",8.728206,5.843408
"Shopping for groceries, playing a Nintendo Wii, taking online courses???

A 23-year-old part-time vlogger/full-time student from Norway, who attends @PKU1898, is recording his daily life amid the novel #coronavirus epidemic.? [Photo/Xinhua] #SpotlightBeijing https://t.co/tEUgjLti05",9.339989,5.609273
"Are we still allowed to refer to successfully spreading digital consumer products as ""viral"" or will we have to find a new word? Asking for a friend... #coronavirus",9.518288,5.4951873
"POINT OF SALE Software meets unique needs of small and medium enterprises

We sell hardwares at affordable prices 

TOUCH SCREEN MONITOR 25,000

COMPLETE DESKTOP KSH 12,000

THERMAL PRINTER KSH 13,000

CASH DRAWER KSH 8,000

CONTACT: 0722 904 209/0724 493 745

#Covid_19 https://t.co/8YePBAcG5i",9.635738,5.0856233
"Online gaming, internet shopping and book sales are booming. If you too are self-imposing isolation @guardian has published #Coronavirus reading list: joyful books for dark, lonely times https://t.co/Od7hRxKriH",9.404296,5.48701
Since corona virus Ive started online clothing shopping this is my new outfit. #shopping #oodt #fashionista #coronavirus #covid19Canada https://t.co/7a0fT0YgFA,9.141491,5.077369
"Video conferencing, online shopping, remote work, crypto, e-wallets, VR, ebooks, e-classroom, digital assistants, assets tokenization, STO. It's their time 2 shine. Organizations that dont offer these options will have to rethink.  Face2face is so covid-19! #xtz #COVID19",9.186417,5.740895
I think it's safe to say that the current situation society is facing is going to have a profound impact on people's move towards shopping and searching online for businesses. It's time to get your business online. #coronavirus,9.589235,5.695058
waiting for the retail store e-mails to start rolling in with the Use Promo Code COVID-19 for 19% discount,8.984513,5.069657
Sephora has free shipping online now until the end of March bc ppl are probably more comfortable shopping online instead of in stores due to COVID-19,10.340434,4.979632
Catch me online shopping during this Covid-19 season,9.252704,5.348332
#CoronavirusPandemic  will help online grocery shopping break through in germany - no free delivery slots in the next two weeks in my area @REWE_Supermarkt  #disruption #ecommerce #delivery #Covid_19 https://t.co/SVaxCWymys,10.187414,4.8886385
Shopping online because of #Covid_19 #CoronaVirus If you shop with  @boohoo remember to use TopCashback here is what you get back on online purchases sign up free https://t.co/rJjMjU43oU and you will also get a free £5 M&amp;S gift card #boohoo https://t.co/3UGPwVTllU,9.459409,5.1966815
Tbh all Im trying to find is some Covid-19 discounts for shopping online,9.022572,5.2135816
"@quietplacemovie @ParamountPics Why not release it On Demand, streaming? People wanna see it and we'll pay to see it the comfort of our (hopefully) COVID-19 free environment. ? Heck, add a ""COVID-19 tax"" for the consession/food revenue loss.",8.801462,5.7694974
"What's happening now will definitely re-shape consumer's shopping habits, preferences and expectations in the future. Personal Safety and Hygiene may even top Sustainability or at the very least - be of equal importance. You heard it here first. #coronavirus #chaos",9.621129,5.627306
"""While online shopping may benefit in the short term, supply chain issues and uncertain consumer demand could dampen the e-commerce outlook.""

#coronavirus #covid #ecommerce #adimo

https://t.co/JkUZgvNFBw",9.82304,5.491947
"Since last weeks reporting of the impact of the Covid-19 outbreak on global eCommerce activity weve uncovered shifting patterns in online shopping, putting facts behind the digital business trends everyone is talking about.

https://t.co/bZkO9cD4Gv",9.712943,5.5624514
"Between primaries and COVID-19, I've come to the unsettling realization that I cope with stress by online shopping. How many sweaters until I feel peace?",9.215272,5.3164234
"Will online shopping become even more important to you, because of virus outbreaks like #Covid_19  #CoronavirusPandemic",9.595344,5.39244
"Teachers, Loom is a great tool for recording and sharing videos with comments.

#teachers #education #Covid_19 

@useloom is there a way I can pay double per month while you're running these adjusted prices? Happy to if so.

https://t.co/gRUnBAboIO",9.029057,5.5580196
Weve had questions recently from customers concerned with shopping in public. Beach Automotive would like to remind its customers that we have the ability to complete an entire purchase transaction online WITH home delivery available. #CoronaVirus #Covid19 #WeAreHereToHelp,10.146094,5.1095862
"Another reminder that COVID-19 will hit indie bookstores, most of which have online shopping. And wonderful staff to help you pick something wonderful for those kids who may be staying home. Starting a Bay Area list in this thread. Please add more. Or start your own local list",9.30202,5.260445
"Let the records show that in spite of #coronavirus fears, I still enjoy picking out beautiful shoes online and putting them into my shopping cart and then not buying them.

????????",9.344535,5.095401
"Covid-19 will lead people to buy more things online, leading to a rapid adoption to online shopping that will probably be permanent. Learning #digitalmarketing skills will become even more essential. 

Here's an interesting article on the subject: https://t.co/v6tbe3aY7o",9.432736,5.6703544
"Could everyone please pay with a card, no cash exchanges. Thank you from a retail store manager. #Covid_19",8.862014,5.13989
Just dont shut down online shopping and amazon prime! Please and thank you #Covid_19,9.409159,5.211303
Is anyone else concerned with the extra load on consumer ISPs with companies/schools shifting to WFH and online classes? #Covid_19,9.214656,5.7341065
"@GoldenDiscs I just made my first purchase on your site, it took 2 minutes between choosing CD and check out ! #superb #shopping #ireland #online #Covid_19",9.430859,5.249619
Stop shopping in online because of deadly #coronavirus,9.752311,5.162086
"While most #BabyBoomers are online, they still lag behind younger generations when it comes to online #shopping. But that may be about to change. https://t.co/utXYNbxLyS #coronavirus #onlineshopping https://t.co/UMWvgUM0N5",9.794606,5.3003488
"In a #digital era many jobs can be done remotely. If you have to #StayHome you can keep on working. Time to polish your #digitalskills!

Get more info on #Covid_19 ??https://t.co/hzMsKsSEHD

#FlattenTheCurve https://t.co/s3JW72jIg2",9.08993,5.196769
"As uncertainty over #coronavirus continues to grow, consumers are becoming more cautious about #shopping in public places &amp; are utilizing #online shopping as a means of getting necessities. https://t.co/weTMTYFYVo

#behavioralchange #behavioraleconomics #behavioralscience https://t.co/0bTXjEMV1I",9.711572,5.418179
@FlippinKath #coronavirus #tlna my big fear is purely money as I am a self employed Taxi Driver. If we go to lockdown Gov. Should hire us to help with online shopping deliveries as retailers would not be able to cope. Win-win!,9.998866,4.831368
"Due to COVID-19 Ill be cancelling or postponing all in person meetups. Shopping sessions can be done online if you want. Well figure it out yall 

?findom?collegedomme?bratty",9.27522,5.1967087
"? 50% OFF SITEWIDE! ?
Don't let #coronavirus prevent you from shopping! Were giving customers the same deal as employees and encouraging you to shop online! Save big, now thru Monday! https://t.co/ngnz6aj8m4",9.826479,5.054404
"?? Tips for Self Protection ?? Prevent #coronavirus by shopping online! Were giving customers 50% off sitewide so you can stay home and stay healthy! ??
Discount automatically applied at checkout. https://t.co/vzzi5QpO4N",9.572854,4.8386636
"?? THIS JUST IN ?? Prevent #coronavirus by shopping online! @GrassrootsCali is giving customers 50% off every onlinr purchase now through Monday! ??
#shoponline #shopnow https://t.co/HbTsF0SZeN",9.725472,4.8251376
"In light of the pandemic, i have moved to online shopping.
Can we have free shipping for online orders? Please.
#coronavirus
#onlineshopping",10.2568245,5.0369964
"Real Canadian Superstore online shopping also down. Guess its not me, as COVID-19 strikes again.",9.56412,5.032948
"According to @dmsgrp and @eMarketer, #Coronavirus May Shift Older Generations To Online Shopping https://t.co/8MGWdu6Hxn #Retail https://t.co/UYJGtkMyYV",9.835091,5.0886183
Im worried about how much online shopping Ill be doing when I dont have sport or work to distract me. Me and my Asos driver and going to get super friendly #Covid_19 #asos #shoptilyoucough,9.370669,5.371036
"Online shopping                  Covid-19

                                    ?

                      Eliminating Retail",9.558649,5.534896
"I cant help but think about how much online shopping marketing is going to be amping up now that people are staying isolated, at home, and are prime targets due to stress, boredom, and need for necessities. Capitalism preys again. #CoronaVirusCanada #capitalism #Covid_19",9.557117,5.670035
"@PicknPay @Fresh_Living Due to #coronavirus what do you say about the fact that people are afraid to go to the malls? Isn't  possible to ensure that online shopping is everywhere in SA, local, and deliver at lower price.",9.991734,4.931553
Is it better to shop at the grocery store myself or order delivery? Which is safer? #coronavirus,10.070026,4.7176256
The entertainment industry could help with #selfisolating by making all new releases available for immediate streaming at discounted prices #CoronavirusPandemic #Covid_19 #entertainment,8.846586,5.753757
Does anyone know if its safe to receive packages from the US? Im talking about online shopping. #Covid_19 #coronavirus,9.65763,4.7944818
"Just a thought, but ""brick &amp; mortar"" businesses were already struggling against the onslaught of Amazon and other online giants. Now, due to COVID-19 we might all be forced to do a majority of our shopping online. Might this be the final straw that breaks local retailers' backs?",10.063779,5.495498
"Does covid-19 seem like a promo code to get 19% off when online shopping or is that just me ?
#Quarantine",9.040414,5.032896
"The book industry will no doubt be impacted by COVID-19  this includes authors, publishers, and indie bookstores. If youre seeking a good book to read in the comfort of your own home, please consider shopping with us (or your local indie) in our online capacities.",9.27853,5.3428044
"For those worried about online shopping, your packages are safe!
https://t.co/8shWM1GZ77 #coronavirus #CoronaVirusUpdate #WuhanVirus #pandemic #CoronavirusPandemic #Covid_19 #onlineshopping #shopping https://t.co/NWnq0kbwCR",9.678032,4.7641582
Celestial Warmth Wellness Services is reducing prices on Remote Energy Psychology Sessions effective immediately.  COUPON CODE is IMMUNE for 25% off 3 pack of Body Code Sessions!  #Covid_19 #Lymphatic #Lungs #Spleen #immunesupport #energymedicine #bodycode https://t.co/Yi1zHBCE8w,8.997492,5.0157323
"Really worried about how this #Covid_19 isolation will affect my online shopping addiction, if we have to stay indoors for a while.",9.408284,5.3119216
"Keep an eye for bargains ??

example: ( trips from New York to Miami for $51 or other bargains out there )

Keep an eye on prices, don't buy over the top essential items. Many online sellers will try to rip you off. 

#Covid_19",9.201197,5.244371
"$UBID .0095 Going 

Shop Online, avoid the stores and the high risk of being infected with the #Coronavirus #pandemic #COVID19 

Auctions, Online Shopping 

Do it the safe way, the Ecommerce way",9.4448,5.060338
People havent thought through this economic damage thing. Ive been at home 2 hours and already bought a new computer monitor. I think online shopping could do very well out of this ? #Covid_19,9.503013,5.474316
I guess this explains why the online shopping was down this afternoon. #Covid_19 https://t.co/64Tqx417EM,9.211728,5.026116
"Get the TV you want anywhere in the world. ?
Sports ?
Movies ?
Series ?
On demand ?
Real customer support ?

Prices starting from £4.17 per month ?
Competitive resellers packages ??

#IPTV #OTT #SPORTS #football
#PlayStation #XboxOne #ipeetv #Covid_19 #toiletpapercrisis",8.795514,5.796868
@reliancejio  can single handedly help achieve social distancing by announcing unlimited data packs for every consumer. @narendramodi  No need of  making any Saarc policies :). #COVID2019,9.20766,5.6958737
"Free online delivery code for orders over 15 within Ireland, so that visitors to our child development stores can avail of free online delivery instead of shopping instore #COVID2019IRELAND #coronavirus https://t.co/5BwNmF64bb",10.1827965,5.034789
"For More details -  https://t.co/1cz6zgOSw6

#onlineshopping #Shipping #shippingfromindia #coronavirus #internationalshipping https://t.co/ef7zp5hMt5",10.1763315,4.9425497
"Online shopping critical for many. But not easy for all and not for all services beyond groceries. If you have #Covid_19 high risk family in the Durham area and need items leaving on a porch, whatever they may be, let me know and we can make it happen. Support each other. 1/2",10.069653,5.1481357
COVID-19 might be presenting online shopping platforms their greatest opportunity.,9.308984,5.50952
"Latest from ?@AdobeInsights? on how peoples digital lives are being affected by #COVID19

How COVID-19 Is Impacting Online Shopping Behavior | Adobe Blog https://t.co/rIrkd59tFM",9.455666,5.2680516
"China has announced its Labor Day holiday this year will last for five days, as opposed to four days in 2019 and three days in 2018. Analysts say local tourism and online shopping will dominate holiday consumption amid the #COVID-19 epidemic. https://t.co/j3cnol0HaP https://t.co/ji4zyJmb9B",9.770617,5.601871
COVID-19 has me shopping online for home delivery. SAVE with Rakuten &amp; earn cash back!!  I love getting Cash Back and think you will too! Join for free and get $10 when you spend $25.  https://t.co/rqvblxbGKA,9.59872,5.196776
"#Covid-19 what is the flip side? Is physical shopping coming down and #ecommerce ommerce picking up? Online e-retailers will leverage this situation to their advantage, and it will be a sensible thing to do. 

https://t.co/umS0Tklb34",9.822637,5.502472
"We're concerned...please help us support our local businesses, many of whom have online shopping platforms. We will get through this!!
#CoronavirusPandemic #coronavirus #COVID2019 #Bellingham #pnw #localbusiness #ShopLocal https://t.co/c7FXyUEJZs",10.113798,5.0389805
"COVID-19 isn't the only thing altering shopping habits. Interesting article about how consumer behaviour is changing thanks to technology.

#shopping #technology #fintech 

https://t.co/sHGaxZN78J",9.524574,5.571112
"As more people are being asked to self-isolate, theyre experiencing a big lifestyle shift. Last week we mentioned that companies offering fast home delivery - like Amazon - and home entertainment - like Netflix - had seen an increase in their stock prices. THREAD (2/6) #Covid_19",8.966717,5.7720685
I now see why drones would come in handy for online shopping and delivery. #coronavirus,9.80127,5.251942
"Hey ladies ??
I sale classy heels ? at affordable prices ? 

Nationwide Delivery at the shortest time possible  ?? ?  DM ?? 
 
#Buhari #CoronavirusPandemic #CoronaOutbreak #Covid_19 https://t.co/MUA1GiQtvx",9.249067,5.002835
"mga adik sa Shopee, Lazada, or online shopping wag muna order ng non important items o kaartehan unless for hygiene, healthcare reasons. prioritize actually important items than vanity and just plain add to cart boredom. #Covid_19 #CoronavirusPandemic #coronavirus",9.84135,4.939294
"Covid-19 force us to use online video conference/call for

-classes
-meeting

Upcoming
-shopping
-hangout",9.200639,5.193688
"lrt who knew COVID-19 was all we needed for ppl to start considering the digital version of everything?

cashless cash
online meetings/classes
online shopping
cloud storage

unfortunately not everyone can afford to use em yet, maybe after COVID-19 is gone let's focus here next?",9.402715,5.5418363
Sign of the times Online shopping sites for and have crashed first delivery slot in our area is in over a week s time Could be a real issue for people self isolating in weeks to come unless the supermarkets ramp things up,10.446015,4.826198
You know what I kinda fear about this self isolation due to #Coronavirus ? That I will literally end up blowing up my Credit Card doing a shit ton of online shopping because I am bored LOL. Lisa gets destructive when she is bored. Much like a Husky HA.,9.362313,5.234419
The more I see the hysteria over the empty stores unfold the more I think people will start to do more online shopping on amazon &amp; other sites to avoid the lines &amp; people from now on. Even after Covid-19 blows over. #coronavirus #onlineshopping #emptyshelves #COVID19,10.008277,5.4060907
"Online shopping from a great selection at Home &amp; Business Services Store. https://t.co/j8LhpDsXG3
 via @Amazon3PSellers

#Homeoffice #DonaldTrump #coronavirus #COVID?19 #Italy #YouthWithYouEP02 #AmazonFilmfareAwards #woman
#FloridaPrimary https://t.co/0wx0ojPbRk",9.459662,5.2258186
"Capitalist problem: how can we get all eyeballs on screens so we can bombard them with propaganda so they will act on our advertising and buy our shit via online shopping carts?
Capitalist answer: COVID-19",8.999104,5.2611327
"Lets just say the stress of private practice pediatrics during COVID-19, social distancing, and online shopping is a BAD combination ?",9.525059,5.506376
I cant be quarantined! My online shopping is out of hand and Im bouta spend my COVID 19 national emergency fund on summer clothes and places to wear em  ????,9.214241,5.086014
"In the wake of shopping chaos caused by fears over COVID-19, one online giant is taking a stand against those looking to make a profit on the situation https://t.co/3ZLQDr8kLK https://t.co/Uen7ui8sZh",9.80338,5.5234156
We understand that will make you reluctant to come out so we will do what we can to make your intrepid shopping easier You can browse shop online If you want free local delivery please just call us  ,10.489181,4.8776975
"Coronavirus is hurting store traffic and e-commerce won't help much, analysts say https://t.co/Hz5GmbZMN0 #coronavirus #retail #ecommerce https://t.co/o9o6AxEZSK",9.848885,5.276501
Germans waiting for @Aldi supermarket to open up ? https://t.co/36Iy0BwJiJ,10.440185,4.782019
"In China, people have dramatically shifted toward online shopping for all types of goods, including food and product delivery. Companies should invest in online as part of their push for omnichannel distribution. #covid_19 #chinaecommerce
https://t.co/mDpkG8QJSV",9.929203,5.6243954
"@j0s3fk Yes, that is an additional problem. In the case of covid-19, restriction to rationed online shopping for shortage goods may be the best.",9.688602,5.582573
"During this time try to #shopsmall #shoplocal where possible. 

Even shopping #online you can support #smallbusinesses #familybusiness 

#covid_19 #bekind #helponeanother #letsdothis #supportsmallbusiness https://t.co/c3r1WpSaLW",10.156686,4.9601984
"#coronapocalypse #Covid_19 #COVID19Aus #covid19australia 
Demand for IT infrastructure is going to increase during this spread and after. Education online, work from home, online shopping, online music concerts and sports. Do we have the bandwidth to support this ?",9.107509,5.7116795
Ocado down: Online shopping #ap'p and website break as #coronavirus fears lead to panic bu... https://t.co/7TmAssTuCG https://t.co/YYIMPmmv9w,9.945524,5.1662602
We're all about to look fly AF in our houses with all this online shopping we're doing. Like Thanksgiving - but everyday. #coronavirus,9.798403,5.136868
"Anyone else doing some online shopping right now? I've noticed that some of these designers have suddenly made their ""70% off"" sales into ""50% off"" sales *with* free shipping! ? Like ""fuck this price gauging"", y'all! ? #onlineshopping #coronavirus #COVID19 #Covid_19 #COVID19US",9.99073,5.1592126
Ppl are waiting in grocery store lines for an hour or longer. ????? Its times like this I wonder why technology like what #Amazon is implementing (no cashiers) isnt the norm by now. ????? #CoronaVirus #iThoughtWeWouldBeLivingLikeTheJetsonsByNow https://t.co/nBxDIf0HjR,10.410776,5.012787
"How #CoronaVirus would change our lives:
 Dependence on food, grocery delivery services
 Increase in online transactions (shopping, banking)
 Video, tele-conferencing, the new meeting
 Online/YouTube classes, lessons
 Streaming of tv, music shows
 Remote working",9.164525,5.63891
"With all the panic and drop off in the market, Ive yet to see a decline in sales for my own E-com brand...

(other than inventory problems when China was on lockdown)

Curious to see how COVID-19 will effect sales in online shopping moving forward?",9.776264,5.586554
"Me online shopping, unbothered by the #coronavirus frenzy. #amazonprime https://t.co/y0QSwzqpLM",10.007503,5.384254
"Im about to go down an online shopping hole and someone must stop me. Spring clothes, spring shoes spring bags spring skin like Im booking a facial/ordering a new closet this is how covid 19 is effecting me. Affecting? Idk.",9.353718,5.3563704
"Since I cant go out and spend all my money I will instead be online shopping for clothes. When this COVID-19 runs its course, its over for all you hoes",9.242792,5.2924595
"In Response to Corona &amp;
Canceled Events
""Online shopping has risen since the Covid-19 virus""

Our Unparalleled Response to the Coronavirus Emergency Plan
--Exclusively for our Vendors--
If we can't bring the PEOPLE to us then we will bring US https://t.co/9eRRiAK6eP https://t.co/cHAeczaeH5",9.968751,4.984875
#Coronavirus We can stop the corona from spreading by prohibiting online shopping.,9.644619,5.347274
"Avoiding Online Shopping Portals From China Thanks To COVID-19?
 https://t.co/2TS5gN9Zv5 via @shethepeople",9.888938,5.603473
"Maybe #coronavirus will finally convince us that in addition to shopping online, we can also do school/work/church online and simultaneously save the planet with a sudden massive reduction in pollution #GreenNewDeal and prove the need for #NetNeutrality",9.29998,5.701692
"@RichardBarrow Same kind of thing has been going on in South Korea, too. The large stores are losing much business to same day /next day online delivery services. Cheaper prices and more convenient. Plus, with #coronavirus epidemic, few people wanna go sh",9.99532,4.8654404
online shopping is an alternative way to buy some stuffs #COVID2019,9.367967,5.2963004
Im scared to shop online &amp; go grocery shopping ? #COVID2019,9.343985,5.2677846
Im going to start entering the code COVID-19 to see what kind of discounts I can get when online shopping during self- quarantine. #COVID19 #covid19Canada #covid19alberta,9.031049,5.154216
"Social distancing will boost online shopping, expert says https://t.co/wDgzzaiK26",9.707341,5.6278005
"Worried about #SmallBusiness? Excellent tip from physicist Scott Paulson: ""Buy online gift cards from your favorite places. They get a little $$ to keep things going, you get a shopping/dining spree/haircut in a month or two!""   #BuyLocal #coronavirus #SmallBusinessSaturday",10.398008,4.8203278
"Skills that will be in high demand due to #COVID19:
-Call centre/online info clerks
-food delivery drivers
-cleaning staff
-laundry workers
-frontline coordinators
Those losing hours in hospitality/events management should prepare to change/adapt to the new demand. #coronavirus",9.2328825,5.5935454
Quarantine measures imposed by states the world over in the wake of the COVID-19 pandemic have led to a surge in screen time use and online shopping among the masses. https://t.co/nlRZMWLu1s https://t.co/4UQ7Iecozo,9.184729,4.9787793
"This virus just damaging my bank account the most, all this sitting at home has me online shopping out of boredom, better home my amazon guy is washing his hands or im gonna have a 50pcs box of kitkats, a ballgown ill never wear and COVID:19",9.287884,5.2899675
